question,url
Prime Number Theorem and ...,https://AlexKontorovich.github.io/PrimeNumberTheoremAnd/blueprint.pdf
unit-fractions,https://b-mehta.github.io/unit-fractions/blueprint.pdf
∞-Cosmos,https://emilyriehl.github.io/infinity-cosmos/blueprint.pdf
Carleson operators on doubling metric measure spaces,https://florisvandoorn.com/carleson/blueprint.pdf
Fermat's Last Theorem,https://ImperialCollegeLondon.github.io/FLT/blueprint.pdf
Seymour's Decomposition for Regular Matroids,https://Ivan-Sergeyev.github.io/seymour/blueprint.pdf
Class Field Theory,https://kbuzzard.github.io/ClassFieldTheory/blueprint.pdf
con-nf,https://zeramorphic.github.io/con-nf-paper/main.l.pdf
Fermat's Last Theorem for regular primes,https://github.com/leanprover-community/flt-regular
The sphere eversion project,https://leanprover-community.github.io/sphere-eversion/blueprint.pdf
Brownian motion project,https://RemyDegenne.github.io/brownian-motion/blueprint.pdf
Equational Theories Project,https://teorth.github.io/equational_theories/blueprint.pdf
The Polynomial Freiman-Ruzsa Conjecture,https://teorth.github.io/pfr/blueprint.pdf
Sphere Packing in Dimension 8,https://thefundamentaltheor3m.github.io/Sphere-Packing-Lean/blueprint.pdf
Brauer Group,https://whysoserioushah.github.io/BrauerGroup_new/blueprint.pdf
Arithmetic Progressions - Almost Periodicity,https://YaelDillies.github.io/apap/blueprint.pdf
Cambridge Combinatorics in Lean,https://github.com/YaelDillies/cam-combi
Chandra-Furst-Lipton,https://www.cs.umd.edu/~gasarch/BLOGPAPERS/multiparty-vdw.pdf
Forbidden Matrix Theory,https://YaelDillies.github.io/forbidden-matrix/blueprint.pdf
Gibbs Measures,https://YaelDillies.github.io/gibbs-measure/blueprint.pdf
Toric varieties,https://YaelDillies.github.io/toric/blueprint.pdf
